die_id,lot_id,chamber_temp_c,stress_voltage_v,etch_rate_nm_min,leakage_current_0h_ua,standby_current_0h_ma,v_threshold_0h_v,leakage_current_24h_ua,standby_current_24h_ma,v_threshold_24h_v,leakage_current_96h_ua,leakage_current_168h_ua,standby_current_168h_ma,v_threshold_168h_v,sensor_channel_1,sensor_channel_2,sensor_channel_3,defect_type,is_defect_168h
LOT_049_DIE_00048,LOT_049,126.96,3.612,474.52,11.78,2.549,0.6863,12.269,2.585,0.6829,12.917,13.951,2.623,0.6808,99.25,45.31,1.236,PASS,0
LOT_050_DIE_00049,LOT_050,125.02,3.549,474.71,8.119,2.733,0.6632,8.532,2.74,0.6608,9.436,10.058,2.805,0.6521,97.73,44.95,1.157,PASS,0
LOT_001_DIE_00050,LOT_001,123.16,3.641,505.65,12.198,2.585,0.7471,12.803,2.612,0.7438,13.518,14.059,2.62,0.7397,100.9,48.48,1.323,PASS,0
LOT_002_DIE_00051,LOT_002,123.12,3.576,489.59,14.465,2.476,0.712,14.982,2.515,0.7087,15.873,16.25,2.554,0.7041,106.03,45.96,1.227,PASS,0
LOT_003_DIE_00052,LOT_003,125.48,3.544,510.07,11.572,2.396,0.7256,12.19,2.413,0.7213,12.873,13.515,2.429,0.7133,99.07,44.68,1.254,PASS,0
LOT_004_DIE_00053,LOT_004,124.82,3.539,503.02,13.957,2.247,0.7384,14.299,2.271,0.7362,14.588,15.085,2.317,0.7282,94.5,43.22,1.203,PASS,0
LOT_005_DIE_00054,LOT_005,124.76,3.609,500.74,9.517,2.625,0.686,9.951,2.657,0.6842,11.228,11.709,2.661,0.6781,100.85,41.47,1.241,PASS,0
LOT_006_DIE_00055,LOT_006,123.92,3.653,477.83,8.476,2.289,0.7364,9.015,2.31,0.7322,9.453,10.093,2.328,0.7277,96.48,44.4,1.257,PASS,0
LOT_007_DIE_00056,LOT_007,125.85,3.556,474.89,8.839,2.874,0.6852,9.478,2.895,0.6823,10.407,10.857,2.929,0.6766,102.68,42.75,1.252,PASS,0
LOT_008_DIE_00057,LOT_008,124.99,3.591,512.2,16.931,2.455,0.682,17.449,2.45,0.6789,17.861,18.653,2.515,0.6739,101.42,43.02,1.293,PASS,0
LOT_009_DIE_00058,LOT_009,123.46,3.591,504.06,12.434,2.449,0.6735,12.622,2.466,0.6703,13.275,14.322,2.508,0.6631,93.17,44.44,1.156,PASS,0
LOT_010_DIE_00059,LOT_010,122.84,3.635,490.7,12.823,2.474,0.6936,13.483,2.502,0.6914,14.002,14.516,2.504,0.6857,105.84,42.84,1.066,PASS,0
LOT_011_DIE_00060,LOT_011,124.47,3.659,489.5,7.406,2.656,0.6942,8.14,2.683,0.6917,9.358,9.72,2.721,0.6856,102.3,43.31,1.411,PASS,0
LOT_012_DIE_00061,LOT_012,125.16,3.609,481.9,47.873,3.07,0.66,60.445,4.264,0.6109,103.973,165.234,5.796,0.5461,115.15,34.88,1.264,LATENT_CONTEXTUAL_OUTLIER,1
LOT_013_DIE_00062,LOT_013,125.29,3.592,516.01,13.741,2.586,0.7251,14.327,2.605,0.7232,14.989,15.516,2.637,0.7154,104.3,39.68,1.161,PASS,0
LOT_014_DIE_00063,LOT_014,124.56,3.608,517.45,9.094,2.5,0.7126,9.418,2.523,0.7113,9.838,10.795,2.524,0.7041,108.65,45.75,1.276,PASS,0
LOT_015_DIE_00064,LOT_015,124.18,3.599,510.7,8.774,2.359,0.719,8.993,2.386,0.7146,10.002,10.474,2.405,0.709,98.22,46.53,1.27,PASS,0
LOT_016_DIE_00065,LOT_016,124.76,3.644,506.28,9.86,2.678,0.6978,10.489,2.714,0.6921,11.272,12.115,2.745,0.6882,94.64,45.01,1.375,PASS,0
LOT_017_DIE_00066,LOT_017,123.5,3.582,508.57,9.656,2.438,0.6668,9.754,2.459,0.6627,10.666,11.368,2.503,0.6608,95.04,45.96,1.335,PASS,0
LOT_018_DIE_00067,LOT_018,126.02,3.622,482.53,8.905,2.555,0.7335,9.403,2.569,0.7319,10.28,10.85,2.588,0.7266,101.52,41.56,1.307,PASS,0
LOT_019_DIE_00068,LOT_019,127.01,3.617,517.68,10.516,2.579,0.6741,10.516,2.572,0.6719,11.429,12.224,2.62,0.6658,95.23,42.62,1.164,PASS,0
LOT_020_DIE_00069,LOT_020,122.68,3.571,496.73,11.289,2.805,0.7195,11.612,2.823,0.7164,12.593,13.04,2.834,0.7112,99.48,50.89,1.183,PASS,0
LOT_021_DIE_00070,LOT_021,125.73,3.612,510.98,11.283,2.475,0.7334,12.074,2.505,0.7327,12.891,13.596,2.499,0.7243,99.0,44.65,1.24,PASS,0
LOT_022_DIE_00071,LOT_022,126.34,3.638,508.95,8.693,2.378,0.6599,9.038,2.399,0.6559,10.226,11.072,2.408,0.651,98.66,43.26,1.189,PASS,0
LOT_023_DIE_00072,LOT_023,123.18,3.568,471.42,9.071,2.469,0.66,9.506,2.502,0.6577,10.236,10.094,2.496,0.6509,101.9,42.2,1.313,PASS,0
LOT_024_DIE_00073,LOT_024,124.67,3.702,486.23,10.405,2.452,0.7407,11.031,2.482,0.7383,11.718,12.368,2.481,0.7327,96.98,45.69,1.208,PASS,0
LOT_025_DIE_00074,LOT_025,123.49,3.55,479.03,11.537,2.61,0.7058,11.832,2.631,0.7027,12.246,12.643,2.648,0.6945,109.72,40.94,1.314,PASS,0
LOT_026_DIE_00075,LOT_026,125.74,3.58,500.06,12.403,2.576,0.7368,12.791,2.59,0.735,13.851,14.222,2.622,0.7282,93.43,43.55,1.174,PASS,0
LOT_027_DIE_00076,LOT_027,124.64,3.596,526.84,9.448,2.455,0.7321,9.677,2.483,0.7286,10.267,11.035,2.545,0.7222,91.5,46.32,1.31,PASS,0
LOT_028_DIE_00077,LOT_028,123.94,3.586,522.37,12.267,2.838,0.6769,12.668,2.842,0.6744,13.7,14.813,2.863,0.6673,94.4,44.73,1.171,PASS,0
LOT_029_DIE_00078,LOT_029,124.44,3.597,486.62,12.883,2.68,0.6893,13.318,2.707,0.687,14.027,14.06,2.748,0.6818,92.93,38.52,1.205,PASS,0
LOT_030_DIE_00079,LOT_030,127.73,3.699,493.4,9.723,2.518,0.6797,10.339,2.514,0.6781,10.933,11.389,2.557,0.67,99.68,43.52,1.368,PASS,0
LOT_031_DIE_00080,LOT_031,124.15,3.553,505.05,10.872,2.654,0.7421,11.454,2.671,0.7385,12.322,13.194,2.691,0.7336,105.67,42.97,1.393,PASS,0
LOT_032_DIE_00081,LOT_032,123.72,3.609,498.02,7.815,2.501,0.7242,8.002,2.523,0.7195,8.982,9.564,2.502,0.7131,105.24,44.16,1.191,PASS,0
LOT_033_DIE_00082,LOT_033,124.8,3.61,495.31,7.718,2.301,0.7327,7.978,2.317,0.7295,8.658,9.311,2.362,0.7295,101.14,39.71,1.352,PASS,0
LOT_034_DIE_00083,LOT_034,124.4,3.649,494.62,16.439,2.805,0.6842,17.008,2.808,0.6827,17.456,17.681,2.833,0.6763,100.63,44.96,1.181,PASS,0
LOT_035_DIE_00084,LOT_035,125.11,3.599,521.69,13.27,2.518,0.7085,13.523,2.549,0.706,14.0,14.885,2.609,0.7003,101.62,44.11,1.3,PASS,0
LOT_036_DIE_00085,LOT_036,124.22,3.558,480.92,13.397,2.716,0.6891,13.905,2.741,0.6853,15.072,16.323,2.754,0.6853,100.09,46.63,1.267,PASS,0
LOT_037_DIE_00086,LOT_037,124.58,3.597,481.51,13.416,2.644,0.755,13.703,2.661,0.7513,14.488,15.371,2.65,0.7504,94.88,43.01,1.162,PASS,0
LOT_038_DIE_00087,LOT_038,123.98,3.635,516.01,11.89,2.79,0.7067,21.222,3.233,0.6796,44.107,74.349,4.99,0.6492,118.58,38.05,1.202,LATENT_DRIFT_RUNAWAY,1
LOT_039_DIE_00088,LOT_039,126.43,3.628,498.06,14.084,2.496,0.72,14.449,2.509,0.7177,15.115,15.754,2.54,0.7158,104.69,40.98,1.189,PASS,0
LOT_040_DIE_00089,LOT_040,126.05,3.575,517.32,11.939,2.458,0.7178,12.091,2.477,0.7148,13.017,13.494,2.532,0.7115,93.55,43.38,1.265,PASS,0
LOT_041_DIE_00090,LOT_041,125.97,3.561,523.26,9.468,2.659,0.7286,9.854,2.674,0.7256,10.412,10.739,2.701,0.7216,99.95,44.18,1.262,PASS,0
LOT_042_DIE_00091,LOT_042,123.97,3.645,487.34,10.632,2.609,0.7155,11.213,2.623,0.7126,11.964,12.757,2.674,0.7076,95.92,45.48,1.255,PASS,0
LOT_043_DIE_00092,LOT_043,125.11,3.608,493.71,7.8,2.592,0.7437,8.2,2.608,0.7407,9.173,9.434,2.596,0.7368,107.26,45.82,1.274,PASS,0
LOT_044_DIE_00093,LOT_044,124.56,3.684,489.3,14.765,2.646,0.7377,15.107,2.661,0.7334,16.077,16.778,2.668,0.7266,92.94,40.64,1.26,PASS,0
LOT_045_DIE_00094,LOT_045,124.73,3.56,465.77,9.618,2.862,0.738,10.014,2.879,0.735,10.918,11.381,2.934,0.7286,102.96,44.11,1.204,PASS,0
LOT_046_DIE_00095,LOT_046,126.18,3.57,459.86,14.474,2.954,0.7372,26.772,3.474,0.709,56.347,95.007,5.103,0.6548,111.9,43.02,1.264,LATENT_DRIFT_RUNAWAY,1
LOT_047_DIE_00096,LOT_047,124.47,3.685,508.71,11.246,2.797,0.7013,11.726,2.825,0.6969,12.182,12.675,2.848,0.6925,101.51,49.36,1.263,PASS,0
LOT_048_DIE_00097,LOT_048,124.54,3.6,507.84,9.668,2.392,0.6952,10.216,2.419,0.692,11.186,11.979,2.439,0.6898,95.81,46.01,1.251,PASS,0
LOT_049_DIE_00098,LOT_049,125.22,3.57,485.16,11.818,2.842,0.6897,12.236,2.847,0.6866,13.344,13.615,2.882,0.6829,102.63,44.7,1.243,PASS,0
LOT_050_DIE_00099,LOT_050,125.48,3.571,501.62,9.008,2.268,0.6949,9.362,2.3,0.6916,10.057,11.098,2.345,0.6864,97.21,41.36,1.53,PASS,0
LOT_001_DIE_00100,LOT_001,123.24,3.571,483.68,8.558,2.437,0.7568,8.572,2.468,0.7541,9.67,10.597,2.495,0.7506,90.88,43.1,1.235,PASS,0
LOT_002_DIE_00101,LOT_002,125.21,3.657,500.11,12.907,2.532,0.7136,13.191,2.548,0.7105,13.761,14.641,2.596,0.7063,105.29,43.8,1.016,PASS,0
LOT_003_DIE_00102,LOT_003,126.5,3.615,490.78,15.647,2.678,0.7262,32.183,2.946,0.7132,51.743,77.367,3.448,0.6713,120.67,34.34,1.154,THERMAL_VOLTAGE_STRESS_FAILURE,1
LOT_004_DIE_00103,LOT_004,124.44,3.618,508.18,11.959,2.41,0.755,12.602,2.44,0.7519,12.967,13.739,2.471,0.7462,95.01,44.04,1.27,PASS,0
LOT_005_DIE_00104,LOT_005,122.23,3.606,527.12,10.226,2.622,0.7148,10.935,2.652,0.7122,11.932,12.407,2.683,0.7094,100.44,39.02,1.244,PASS,0
LOT_006_DIE_00105,LOT_006,125.83,3.634,487.03,9.027,2.272,0.73,9.579,2.298,0.7265,10.289,10.63,2.309,0.7206,105.49,43.8,1.181,PASS,0
LOT_007_DIE_00106,LOT_007,125.45,3.632,489.92,9.29,2.667,0.7143,9.689,2.68,0.7123,10.25,11.013,2.686,0.7039,104.66,49.53,1.197,PASS,0
LOT_008_DIE_00107,LOT_008,124.81,3.578,511.82,14.663,2.668,0.7135,15.014,2.674,0.7109,15.785,16.249,2.698,0.7048,95.38,47.23,1.333,PASS,0
LOT_009_DIE_00108,LOT_009,123.67,3.534,480.87,11.372,2.238,0.6808,12.075,2.245,0.6777,13.003,13.616,2.292,0.6724,105.07,41.06,1.324,PASS,0
LOT_010_DIE_00109,LOT_010,126.22,3.611,488.59,13.362,2.559,0.6796,14.012,2.59,0.6769,14.671,15.09,2.619,0.6705,94.9,44.94,1.236,PASS,0
LOT_011_DIE_00110,LOT_011,125.38,3.608,475.54,7.646,2.752,0.6959,7.964,2.771,0.6914,9.038,10.16,2.782,0.6872,98.5,49.04,1.33,PASS,0
LOT_012_DIE_00111,LOT_012,125.6,3.619,487.21,15.799,2.572,0.6777,16.148,2.601,0.6755,16.855,17.803,2.618,0.6676,103.61,44.42,1.366,PASS,0
LOT_013_DIE_00112,LOT_013,126.0,3.559,501.03,11.366,2.581,0.7325,11.853,2.583,0.7302,12.391,13.167,2.63,0.724,97.54,46.36,1.167,PASS,0
LOT_014_DIE_00113,LOT_014,125.68,3.639,509.01,8.739,2.337,0.689,9.584,2.37,0.6874,10.103,10.773,2.398,0.6799,88.9,44.43,1.182,PASS,0
LOT_015_DIE_00114,LOT_015,123.32,3.601,509.51,10.326,2.526,0.6993,10.64,2.562,0.6974,11.73,11.881,2.587,0.6934,102.12,43.05,1.227,PASS,0
LOT_016_DIE_00115,LOT_016,127.91,3.617,501.08,8.606,2.653,0.7439,8.794,2.654,0.739,9.777,9.94,2.714,0.7412,100.43,42.69,1.27,PASS,0
LOT_017_DIE_00116,LOT_017,125.52,3.568,507.42,8.63,2.48,0.6911,8.685,2.503,0.6882,9.21,10.254,2.549,0.6853,101.69,39.79,1.235,PASS,0
LOT_018_DIE_00117,LOT_018,123.42,3.592,479.46,11.572,2.686,0.7213,11.841,2.706,0.7174,12.303,12.612,2.74,0.7109,94.05,43.44,1.235,PASS,0
LOT_019_DIE_00118,LOT_019,127.11,3.589,528.6,12.188,2.469,0.7161,12.711,2.504,0.7117,13.712,14.171,2.531,0.7104,102.64,45.38,1.241,PASS,0
LOT_020_DIE_00119,LOT_020,125.24,3.612,518.57,11.285,2.529,0.7533,11.54,2.553,0.7485,12.146,12.748,2.566,0.7475,104.51,42.73,1.372,PASS,0
LOT_021_DIE_00120,LOT_021,126.33,3.624,521.56,10.996,2.515,0.7255,11.235,2.546,0.7234,11.863,12.303,2.579,0.7206,103.8,42.63,1.365,PASS,0
LOT_022_DIE_00121,LOT_022,125.42,3.537,516.8,8.691,2.602,0.6874,8.93,2.629,0.6841,9.861,10.578,2.621,0.6779,99.33,45.83,1.365,PASS,0
LOT_023_DIE_00122,LOT_023,123.56,3.628,506.07,10.773,2.661,0.7106,11.402,2.684,0.706,12.604,13.507,2.701,0.7053,102.8,41.32,1.261,PASS,0
LOT_024_DIE_00123,LOT_024,125.75,3.635,478.48,10.689,2.793,0.7213,11.052,2.828,0.7164,11.957,12.642,2.87,0.7148,95.6,49.97,1.208,PASS,0
LOT_025_DIE_00124,LOT_025,125.63,3.653,497.58,11.848,2.353,0.7683,11.962,2.37,0.767,12.944,13.731,2.418,0.7638,101.31,45.83,1.314,PASS,0
LOT_026_DIE_00125,LOT_026,125.76,3.568,506.04,12.661,2.538,0.736,13.094,2.563,0.7336,13.85,14.405,2.573,0.7284,98.79,44.85,1.288,PASS,0
LOT_027_DIE_00126,LOT_027,124.26,3.642,502.57,8.477,2.443,0.7176,9.198,2.451,0.715,10.007,10.784,2.485,0.7134,94.68,42.09,1.251,PASS,0
LOT_028_DIE_00127,LOT_028,124.89,3.529,513.62,10.618,2.637,0.6762,11.014,2.651,0.6715,11.471,12.627,2.704,0.6672,104.23,44.88,1.138,PASS,0
LOT_029_DIE_00128,LOT_029,121.01,3.541,476.03,13.524,2.459,0.7173,13.612,2.459,0.7148,14.676,14.935,2.484,0.71,104.32,42.77,1.282,PASS,0
LOT_030_DIE_00129,LOT_030,124.29,3.567,494.35,7.688,2.418,0.6995,7.87,2.44,0.6952,8.642,8.875,2.463,0.6891,103.41,46.02,1.225,PASS,0
LOT_031_DIE_00130,LOT_031,125.36,3.615,510.24,13.124,2.479,0.714,13.5,2.496,0.7102,14.141,14.628,2.514,0.7062,93.93,49.85,1.138,PASS,0
LOT_032_DIE_00131,LOT_032,124.37,3.656,485.03,9.668,2.521,0.6854,10.165,2.543,0.6819,11.899,12.048,2.606,0.678,101.65,41.21,1.31,PASS,0
LOT_033_DIE_00132,LOT_033,126.47,3.581,499.09,7.724,2.549,0.6932,8.174,2.558,0.6894,8.914,9.607,2.595,0.6821,100.98,46.74,1.133,PASS,0
LOT_034_DIE_00133,LOT_034,126.04,3.582,484.61,15.779,2.631,0.7059,16.124,2.649,0.7045,16.662,17.612,2.672,0.6966,85.04,44.53,1.12,PASS,0
LOT_035_DIE_00134,LOT_035,125.99,3.633,526.37,15.006,2.585,0.7091,15.415,2.594,0.7079,15.807,16.287,2.647,0.7034,90.58,45.57,1.387,PASS,0
LOT_036_DIE_00135,LOT_036,122.71,3.597,479.24,16.058,2.637,0.7011,16.501,2.648,0.6976,17.368,18.117,2.712,0.6916,100.47,42.17,1.443,PASS,0
LOT_037_DIE_00136,LOT_037,125.18,3.573,504.99,12.618,2.238,0.7325,12.906,2.263,0.7299,13.861,14.129,2.282,0.7276,105.14,46.07,1.285,PASS,0
LOT_038_DIE_00137,LOT_038,123.46,3.544,502.28,9.91,2.272,0.6758,10.277,2.298,0.6716,11.0,11.388,2.345,0.6715,100.17,38.78,1.197,PASS,0
LOT_039_DIE_00138,LOT_039,125.19,3.602,511.78,13.446,2.48,0.7226,13.861,2.491,0.7195,14.802,15.073,2.517,0.719,106.9,43.84,1.227,PASS,0
LOT_040_DIE_00139,LOT_040,127.08,3.566,513.32,11.327,2.32,0.7024,11.792,2.336,0.6995,12.525,12.548,2.376,0.6909,108.51,45.51,1.381,PASS,0
LOT_041_DIE_00140,LOT_041,126.95,3.58,515.51,9.05,2.523,0.706,9.602,2.554,0.7023,10.083,10.992,2.563,0.6933,99.57,48.77,1.195,PASS,0
LOT_042_DIE_00141,LOT_042,126.25,3.623,488.78,12.069,2.394,0.7356,12.717,2.425,0.7334,13.666,13.996,2.455,0.7267,93.95,45.97,1.27,PASS,0
LOT_043_DIE_00142,LOT_043,123.99,3.591,488.56,8.656,2.444,0.718,8.911,2.463,0.715,9.755,10.178,2.492,0.7104,97.48,45.86,1.244,PASS,0
LOT_044_DIE_00143,LOT_044,126.14,3.559,496.77,13.999,2.627,0.6818,14.497,2.641,0.6783,15.302,15.369,2.663,0.674,98.13,42.4,1.119,PASS,0
LOT_045_DIE_00144,LOT_045,125.3,3.553,497.48,10.612,2.474,0.7237,10.99,2.481,0.719,11.492,12.398,2.507,0.7147,103.05,43.83,1.136,PASS,0
LOT_046_DIE_00145,LOT_046,126.17,3.621,491.26,13.3,2.334,0.7047,13.73,2.368,0.7029,14.497,15.119,2.421,0.6975,90.6,46.78,1.099,PASS,0
LOT_047_DIE_00146,LOT_047,126.11,3.622,519.08,10.582,2.6,0.7005,10.887,2.616,0.698,12.267,12.966,2.683,0.6893,96.17,46.82,1.167,PASS,0
